school_id,school_name,province,type,is_985,is_211,recruit_number,rank
436,内蒙古科技大学,内蒙古,综合类,否,否,1908,387
463,山东第二医科大学,山东,医药类,否,否,1008,388
1492,台州学院,浙江,综合类,否,否,138,389
951,重庆工商大学,重庆,财经类,否,否,1813,390
389,黑龙江中医药大学,黑龙江,医药类,否,否,1025,391
989,塔里木大学,新疆,综合类,否,否,732,392
34,信阳师范大学,河南,师范类,否,否,832,393
223,西华大学,四川,综合类,否,否,1388,394
1359,湖南理工学院,湖南,理工类,否,否,668,395
999,大理大学,云南,综合类,否,否,1192,396
475,景德镇陶瓷大学,江西,艺术类,否,否,869,397
482,新疆师范大学,新疆,师范类,否,否,970,398
575,贵州医科大学,贵州,医药类,否,否,917,399
366,吉林财经大学,吉林,财经类,否,否,838,400
260,四川外国语大学,重庆,语言类,否,否,966,401
365,吉林师范大学,吉林,师范类,否,否,1114,402
241,广东医科大学,广东,医药类,否,否,1109,403
433,河北经贸大学,河北,财经类,否,否,1226,404
982,长春师范大学,吉林,师范类,否,否,667,405
326,大连外国语大学,辽宁,语言类,否,否,345,406
579,西南林业大学,云南,农林类,否,否,1131,407
1207,江苏理工学院,江苏,理工类,否,否,469,410
68,闽南师范大学,福建,师范类,否,否,759,411
52,广东财经大学,广东,财经类,否,否,1332,412
1544,淮阴师范学院,江苏,师范类,否,否,192,413
1350,福建理工大学,福建,理工类,否,否,755,414
64,江西中医药大学,江西,医药类,否,否,869,415
93,河北地质大学,河北,理工类,否,否,705,416
1029,淮北师范大学,安徽,综合类,否,否,966,417
1353,海南医科大学,海南,医药类,否,否,628,418
1009,南宁师范大学,广西,师范类,否,否,1528,419
129,河南财经政法大学,河南,财经类,否,否,1126,421
562,西安外国语大学,陕西,语言类,否,否,899,422
215,北京物资学院,北京,财经类,否,否,710,424
339,锦州医科大学,辽宁,医药类,否,否,1081,425
364,长春中医药大学,吉林,医药类,否,否,853,427
426,天津城建大学,天津,综合类,否,否,734,428
1055,广东技术师范大学,广东,师范类,否,否,747,429
1210,上海电机学院,上海,理工类,否,否,1340,430
794,湖北师范大学,湖北,师范类,否,否,612,432
1364,江苏海洋大学,江苏,理工类,否,否,763,433
509,广西中医药大学,广西,医药类,否,否,1057,434
956,首都体育学院,北京,体育类,否,否,356,435
375,吉林建筑大学,吉林,理工类,否,否,717,436
114,湖北中医药大学,湖北,医药类,否,否,617,437
1028,安庆师范大学,安徽,师范类,否,否,697,438
1227,南昌工程学院,江西,理工类,否,否,439,440
1209,山东交通学院,山东,理工类,否,否,325,441
49,五邑大学,广东,综合类,否,否,438,442
1034,河南科技学院,河南,综合类,否,否,581,443
1019,江西科技师范大学,江西,师范类,否,否,905,444
1010,桂林医学院,广西,医药类,否,否,611,445
1215,井冈山大学,江西,综合类,否,否,369,446
1496,重庆文理学院,重庆,综合类,否,否,152,447
1202,浙江万里学院,浙江,理工类,否,否,280,448
1060,陕西理工大学,陕西,理工类,否,否,933,450
1243,洛阳师范学院,河南,师范类,否,否,333,451
946,天津职业技术师范大学,天津,师范类,否,否,466,452
500,仲恺农业工程学院,广东,农林类,否,否,674,453
1411,衡阳师范学院,湖南,师范类,否,否,500,454
458,安徽中医药大学,安徽,医药类,否,否,864,455
1420,临沂大学,山东,综合类,否,否,476,456
1087,天津农学院,天津,农林类,否,否,516,457
1204,黄冈师范学院,湖北,师范类,否,否,283,459
27,天津外国语大学,天津,语言类,否,否,615,460
1047,四川轻化工大学,四川,理工类,否,否,984,461
1363,长春大学,吉林,综合类,否,否,537,462
1203,长春工程学院,吉林,理工类,否,否,243,463
1339,安徽科技学院,安徽,综合类,否,否,727,465
1545,金陵科技学院,江苏,理工类,否,否,145,466
1419,西藏农牧学院,西藏,农林类,否,否,400,469
1006,贵州民族大学,贵州,民族类,否,否,865,470
1498,铜仁学院,贵州,综合类,否,否,76,472
1229,浙江传媒学院,浙江,艺术类,否,否,388,473
388,齐齐哈尔大学,黑龙江,综合类,否,否,1060,475
188,福建中医药大学,福建,医药类,否,否,542,476
1242,合肥师范学院,安徽,师范类,否,否,424,477
1221,绵阳师范学院,四川,师范类,否,否,48,478
1208,上海立信会计金融学院,上海,财经类,否,否,250,479
1008,广西科技大学,广西,理工类,否,否,822,480
45,中国刑事警察学院,辽宁,政法类,否,否,489,481
1536,攀枝花学院,四川,综合类,否,否,57,482
1424,榆林学院,陕西,综合类,否,否,321,483
1361,湖南工商大学,湖南,综合类,否,否,756,484
927,广东药科大学,广东,医药类,否,否,840,486
481,湖北汽车工业学院,湖北,理工类,否,否,900,487
1489,山东航空学院,山东,综合类,否,否,0,488
1384,沈阳医学院,辽宁,医药类,否,否,261,489
1406,湖北文理学院,湖北,综合类,否,否,225,491
1379,重庆三峡学院,重庆,综合类,否,否,745,493
1503,丽水学院,浙江,综合类,否,否,138,494
584,云南民族大学,云南,综合类,否,否,1434,496
1232,泉州师范学院,福建,师范类,否,否,218,497
947,黑龙江科技大学,黑龙江,理工类,否,否,302,498
513,广西民族大学,广西,民族类,否,否,2080,499
1222,防灾科技学院,河北,综合类,否,否,176,500
942,天津商业大学,天津,财经类,否,否,612,502
1235,湖北科技学院,湖北,综合类,否,否,300,503
841,杭州医学院,浙江,医药类,否,否,304,504
1369,宝鸡文理学院,陕西,师范类,否,否,1798,505
1214,南阳师范学院,河南,师范类,否,否,507,507
1217,大连民族大学,辽宁,民族类,否,否,568,508
279,北方民族大学,宁夏,综合类,否,否,774,512
1478,广东石油化工学院,广东,理工类,否,否,256,513
