school_id,school_name,year,avg_total_score,avg_politics_score,avg_english_score,avg_special_one_score,avg_special_two_score,major_count,province,type,is_985,is_211,rank
246,天津音乐学院,2024,362.0,40.0,40.0,60.0,60.0,4,天津,艺术类,0,0,2000
1244,南京工程学院,2022,273.0,38.0,38.0,57.0,57.0,2,江苏,理工类,0,0,332
1020,中国科学院亚热带农业生态研究所,2022,271.6666666666667,36.666666666666664,36.666666666666664,55.333333333333336,55.333333333333336,3,湖南,理工类,0,0,2000
57,核工业北京地质研究院,2022,260.0,35.0,35.0,53.0,53.0,3,北京,综合类,0,0,2000
542,中国科学院上海硅酸盐研究所,2024,317.3333333333333,50.0,50.0,70.0,90.0,3,上海,理工类,0,0,2000
1408,东莞理工学院,2022,273.0,38.0,38.0,57.0,57.0,3,广东,理工类,0,0,299
709,中国科学院广州地球化学研究所,2022,288.3,38.9,38.9,58.8,58.8,10,广东,理工类,0,0,2000
1236,宜春学院,2022,309.0,43.0,43.0,129.0,0.0,1,江西,综合类,0,0,592
1513,中国科学院国家空间科学中心,2023,307.875,37.625,37.625,56.5,56.5,8,北京,其他,0,0,2000
954,中国科学院过程工程研究所,2023,297.5,46.0,40.0,72.5,79.0,6,北京,理工类,0,0,2000
803,国家海洋技术中心,2024,260.0,35.0,35.0,53.0,53.0,1,天津,理工类,0,0,2000
533,中国科学院广州化学研究所,2023,279.0,38.0,38.0,57.0,57.0,2,广东,理工类,0,0,2000
789,中日友好临床医学研究所,2023,295.6666666666667,39.0,39.0,117.0,0.0,6,北京,理工类,0,0,2000
906,中国地震局地震预测研究所,2024,288.0,41.0,41.0,62.0,62.0,2,北京,理工类,0,0,2000
540,中国科学院兰州化学物理研究所,2024,287.75,39.0,39.0,64.5,64.5,4,甘肃,理工类,0,0,2000
806,中国地震局兰州地震研究所,2023,269.0,35.0,35.0,53.0,53.0,2,甘肃,理工类,0,0,2000
1208,上海立信会计金融学院,2023,200.5,0.0,51.0,102.0,0.0,2,上海,财经类,0,0,479
1478,广东石油化工学院,2022,273.0,38.0,38.0,57.0,57.0,14,广东,理工类,0,0,513
563,西安体育学院,2024,323.53846153846155,42.61538461538461,42.61538461538461,127.84615384615384,28.384615384615383,13,陕西,体育类,0,0,739
588,中国科学院南海海洋研究所,2022,301.6666666666667,46.666666666666664,46.666666666666664,71.66666666666667,71.66666666666667,6,广东,理工类,0,0,2000
491,中国科学院武汉岩土力学研究所,2022,301.3333333333333,38.0,38.0,57.0,57.0,3,湖北,理工类,0,0,2000
45,中国刑事警察学院,2024,340.0416666666667,42.5,44.291666666666664,73.58333333333333,58.375,24,辽宁,政法类,0,0,481
418,中央美术学院,2023,341.69565217391306,39.34782608695652,40.130434782608695,90.0,90.0,23,北京,艺术类,0,0,2000
522,中国科学院紫金山天文台,2023,310.0,50.0,50.0,80.0,80.0,4,江苏,理工类,0,0,2000
1355,河北建筑工程学院,2024,279.84615384615387,37.23076923076923,37.23076923076923,56.30769230769231,56.30769230769231,13,河北,理工类,0,0,625
1199,湖南人文科技学院,2024,251.0,33.0,33.0,50.0,50.0,5,湖南,综合类,0,0,578
618,中国科学院遗传与发育生物学研究所,2024,299.44444444444446,44.77777777777778,44.77777777777778,77.33333333333333,77.33333333333333,9,北京,理工类,0,0,2000
1089,上海工程技术大学,2022,329.0,42.333333333333336,42.333333333333336,70.33333333333333,70.33333333333333,6,上海,理工类,0,0,291
481,湖北汽车工业学院,2022,278.6111111111111,38.666666666666664,38.666666666666664,58.111111111111114,58.111111111111114,18,湖北,理工类,0,0,487
1486,黑龙江工程学院,2024,290.8,37.6,37.6,56.8,56.8,5,黑龙江,理工类,0,0,557
615,中国机械科学研究总院,2023,300.0,38.0,38.0,57.0,57.0,8,北京,理工类,0,0,2000
